	Slice	status_frame	status_nUp	UI	UILog	UIx1	UIy1	UIx2	UIy2
0	1	1	1	True	init_Yes	296	131	363	141
1	2	2	1	False	nan	0	0	0	0
2	3	3	1	False	nan	0	0	0	0
3	4	1	2	False	nan	0	0	0	0
4	5	2	2	False	nan	0	0	0	0
5	6	3	2	False	nan	0	0	0	0
6	7	1	3	False	nan	0	0	0	0
7	8	2	3	False	nan	0	0	0	0
8	9	3	3	False	nan	0	0	0	0
9	10	1	4	False	nan	0	0	0	0
10	11	2	4	False	nan	0	0	0	0
11	12	3	4	False	nan	0	0	0	0
12	13	1	5	False	nan	0	0	0	0
13	14	2	5	False	nan	0	0	0	0
14	15	3	5	False	nan	0	0	0	0
15	16	1	6	False	nan	0	0	0	0
16	17	2	6	False	nan	0	0	0	0
17	18	3	6	False	nan	0	0	0	0
18	19	1	7	False	nan	0	0	0	0
19	20	2	7	False	nan	0	0	0	0
20	21	3	7	False	nan	0	0	0	0
21	22	1	8	False	nan	0	0	0	0
22	23	2	8	False	nan	0	0	0	0
23	24	3	8	False	nan	0	0	0	0
24	25	1	9	False	nan	0	0	0	0
25	26	2	9	False	nan	0	0	0	0
26	27	3	9	False	nan	0	0	0	0
27	28	1	10	False	nan	0	0	0	0
28	29	2	10	False	nan	0	0	0	0
29	30	3	10	False	nan	0	0	0	0
30	31	1	11	False	nan	0	0	0	0
31	32	2	11	False	nan	0	0	0	0
32	33	3	11	False	nan	0	0	0	0
33	34	1	12	False	nan	0	0	0	0
34	35	2	12	False	nan	0	0	0	0
35	36	3	12	False	nan	0	0	0	0
36	37	1	13	False	nan	0	0	0	0
37	38	2	13	False	nan	0	0	0	0
38	39	3	13	False	nan	0	0	0	0
39	40	1	14	False	nan	0	0	0	0
40	41	2	14	False	nan	0	0	0	0
41	42	3	14	False	nan	0	0	0	0
42	43	1	15	False	nan	0	0	0	0
43	44	2	15	False	nan	0	0	0	0
44	45	3	15	False	nan	0	0	0	0
45	46	1	16	False	nan	0	0	0	0
46	47	2	16	False	nan	0	0	0	0
47	48	3	16	False	nan	0	0	0	0
48	49	1	17	False	nan	0	0	0	0
49	50	2	17	False	nan	0	0	0	0
50	51	3	17	False	nan	0	0	0	0
51	52	1	18	False	nan	0	0	0	0
52	53	2	18	False	nan	0	0	0	0
53	54	3	18	False	nan	0	0	0	0
54	55	1	19	False	nan	0	0	0	0
55	56	2	19	False	nan	0	0	0	0
56	57	3	19	False	nan	0	0	0	0
57	58	1	20	False	nan	0	0	0	0
58	59	2	20	False	nan	0	0	0	0
59	60	3	20	False	nan	0	0	0	0
60	61	1	21	False	nan	0	0	0	0
61	62	2	21	False	nan	0	0	0	0
62	63	3	21	False	nan	0	0	0	0
63	64	1	22	False	nan	0	0	0	0
64	65	2	22	False	nan	0	0	0	0
65	66	3	22	False	nan	0	0	0	0
66	67	1	23	False	nan	0	0	0	0
67	68	2	23	False	nan	0	0	0	0
68	69	3	23	False	nan	0	0	0	0
69	70	1	24	False	nan	0	0	0	0
70	71	2	24	False	nan	0	0	0	0
71	72	3	24	False	nan	0	0	0	0
72	73	1	25	False	nan	0	0	0	0
73	74	2	25	False	nan	0	0	0	0
74	75	3	25	False	nan	0	0	0	0
75	76	1	26	False	nan	0	0	0	0
76	77	2	26	False	nan	0	0	0	0
77	78	3	26	False	nan	0	0	0	0
78	79	1	27	False	nan	0	0	0	0
79	80	2	27	False	nan	0	0	0	0
80	81	3	27	False	nan	0	0	0	0
81	82	1	28	False	nan	0	0	0	0
82	83	2	28	False	nan	0	0	0	0
83	84	3	28	False	nan	0	0	0	0
84	85	1	29	False	nan	0	0	0	0
85	86	2	29	False	nan	0	0	0	0
86	87	3	29	False	nan	0	0	0	0
87	88	1	30	False	nan	0	0	0	0
88	89	2	30	False	nan	0	0	0	0
89	90	3	30	False	nan	0	0	0	0
90	91	1	31	False	nan	0	0	0	0
91	92	2	31	False	nan	0	0	0	0
92	93	3	31	False	nan	0	0	0	0
93	94	1	32	False	nan	0	0	0	0
94	95	2	32	False	nan	0	0	0	0
95	96	3	32	False	nan	0	0	0	0
96	97	1	33	False	nan	0	0	0	0
97	98	2	33	False	nan	0	0	0	0
98	99	3	33	False	nan	0	0	0	0
99	100	1	34	False	nan	0	0	0	0
100	101	2	34	False	nan	0	0	0	0
101	102	3	34	False	nan	0	0	0	0
102	103	1	35	False	nan	0	0	0	0
103	104	2	35	False	nan	0	0	0	0
104	105	3	35	False	nan	0	0	0	0
105	106	1	36	False	nan	0	0	0	0
106	107	2	36	False	nan	0	0	0	0
107	108	3	36	False	nan	0	0	0	0
108	109	1	37	False	nan	0	0	0	0
109	110	2	37	False	nan	0	0	0	0
110	111	3	37	False	nan	0	0	0	0
111	112	1	38	False	nan	0	0	0	0
112	113	2	38	False	nan	0	0	0	0
113	114	3	38	False	nan	0	0	0	0
114	115	1	39	False	nan	0	0	0	0
115	116	2	39	False	nan	0	0	0	0
116	117	3	39	False	nan	0	0	0	0
117	118	1	40	False	nan	0	0	0	0
118	119	2	40	False	nan	0	0	0	0
119	120	3	40	False	nan	0	0	0	0
120	121	1	41	False	nan	0	0	0	0
121	122	2	41	False	nan	0	0	0	0
122	123	3	41	False	nan	0	0	0	0
123	124	1	42	False	nan	0	0	0	0
124	125	2	42	False	nan	0	0	0	0
125	126	3	42	False	nan	0	0	0	0
126	127	1	43	False	nan	0	0	0	0
127	128	2	43	False	nan	0	0	0	0
128	129	3	43	False	nan	0	0	0	0
129	130	1	44	False	nan	0	0	0	0
130	131	2	44	False	nan	0	0	0	0
131	132	3	44	False	nan	0	0	0	0
132	133	1	45	False	nan	0	0	0	0
133	134	2	45	False	nan	0	0	0	0
134	135	3	45	False	nan	0	0	0	0
135	136	1	46	False	nan	0	0	0	0
136	137	2	46	False	nan	0	0	0	0
137	138	3	46	False	nan	0	0	0	0
138	139	1	47	False	nan	0	0	0	0
139	140	2	47	False	nan	0	0	0	0
140	141	3	47	False	nan	0	0	0	0
141	142	1	48	False	nan	0	0	0	0
142	143	2	48	False	nan	0	0	0	0
143	144	3	48	False	nan	0	0	0	0
144	145	1	49	False	nan	0	0	0	0
145	146	2	49	False	nan	0	0	0	0
146	147	3	49	False	nan	0	0	0	0
147	148	1	50	False	nan	0	0	0	0
148	149	2	50	False	nan	0	0	0	0
149	150	3	50	False	nan	0	0	0	0
150	151	1	51	False	nan	0	0	0	0
151	152	2	51	False	nan	0	0	0	0
152	153	3	51	False	nan	0	0	0	0
153	154	1	52	False	nan	0	0	0	0
154	155	2	52	False	nan	0	0	0	0
155	156	3	52	False	nan	0	0	0	0
156	157	1	53	False	nan	0	0	0	0
157	158	2	53	False	nan	0	0	0	0
158	159	3	53	False	nan	0	0	0	0
159	160	1	54	False	nan	0	0	0	0
160	161	2	54	False	nan	0	0	0	0
161	162	3	54	False	nan	0	0	0	0
162	163	1	55	False	nan	0	0	0	0
163	164	2	55	False	nan	0	0	0	0
164	165	3	55	False	nan	0	0	0	0
165	166	1	56	False	nan	0	0	0	0
166	167	2	56	False	nan	0	0	0	0
167	168	3	56	False	nan	0	0	0	0
168	169	1	57	False	nan	0	0	0	0
169	170	2	57	False	nan	0	0	0	0
170	171	3	57	False	nan	0	0	0	0
171	172	1	58	False	nan	0	0	0	0
172	173	2	58	False	nan	0	0	0	0
173	174	3	58	False	nan	0	0	0	0
174	175	1	59	False	nan	0	0	0	0
175	176	2	59	False	nan	0	0	0	0
176	177	3	59	False	nan	0	0	0	0
177	178	1	60	False	nan	0	0	0	0
178	179	2	60	False	nan	0	0	0	0
179	180	3	60	False	nan	0	0	0	0
180	181	1	61	False	nan	0	0	0	0
181	182	2	61	False	nan	0	0	0	0
182	183	3	61	False	nan	0	0	0	0
183	184	1	62	False	nan	0	0	0	0
184	185	2	62	False	nan	0	0	0	0
185	186	3	62	False	nan	0	0	0	0
186	187	1	63	False	nan	0	0	0	0
187	188	2	63	False	nan	0	0	0	0
188	189	3	63	False	nan	0	0	0	0
189	190	1	64	False	nan	0	0	0	0
190	191	2	64	False	nan	0	0	0	0
191	192	3	64	False	nan	0	0	0	0
192	193	1	65	False	nan	0	0	0	0
193	194	2	65	False	nan	0	0	0	0
194	195	3	65	False	nan	0	0	0	0
195	196	1	66	False	nan	0	0	0	0
196	197	2	66	False	nan	0	0	0	0
197	198	3	66	False	nan	0	0	0	0
198	199	1	67	False	nan	0	0	0	0
199	200	2	67	False	nan	0	0	0	0
200	201	3	67	False	nan	0	0	0	0
201	202	1	68	False	nan	0	0	0	0
202	203	2	68	False	nan	0	0	0	0
203	204	3	68	False	nan	0	0	0	0
204	205	1	69	False	nan	0	0	0	0
205	206	2	69	False	nan	0	0	0	0
206	207	3	69	False	nan	0	0	0	0
207	208	1	70	False	nan	0	0	0	0
208	209	2	70	False	nan	0	0	0	0
209	210	3	70	False	nan	0	0	0	0
210	211	1	71	False	nan	0	0	0	0
211	212	2	71	False	nan	0	0	0	0
212	213	3	71	False	nan	0	0	0	0
213	214	1	72	False	nan	0	0	0	0
214	215	2	72	False	nan	0	0	0	0
215	216	3	72	False	nan	0	0	0	0
216	217	1	73	False	nan	0	0	0	0
217	218	2	73	False	nan	0	0	0	0
218	219	3	73	False	nan	0	0	0	0
219	220	1	74	False	nan	0	0	0	0
220	221	2	74	False	nan	0	0	0	0
221	222	3	74	False	nan	0	0	0	0
222	223	1	75	False	nan	0	0	0	0
223	224	2	75	False	nan	0	0	0	0
224	225	3	75	False	nan	0	0	0	0
225	226	1	76	False	nan	0	0	0	0
226	227	2	76	False	nan	0	0	0	0
227	228	3	76	False	nan	0	0	0	0
228	229	1	77	False	nan	0	0	0	0
229	230	2	77	False	nan	0	0	0	0
230	231	3	77	False	nan	0	0	0	0
231	232	1	78	False	nan	0	0	0	0
232	233	2	78	False	nan	0	0	0	0
233	234	3	78	False	nan	0	0	0	0
234	235	1	79	False	nan	0	0	0	0
235	236	2	79	False	nan	0	0	0	0
236	237	3	79	False	nan	0	0	0	0
237	238	1	80	False	nan	0	0	0	0
238	239	2	80	False	nan	0	0	0	0
239	240	3	80	False	nan	0	0	0	0
240	241	1	81	False	nan	0	0	0	0
241	242	2	81	False	nan	0	0	0	0
242	243	3	81	False	nan	0	0	0	0
243	244	1	82	False	nan	0	0	0	0
244	245	2	82	False	nan	0	0	0	0
245	246	3	82	False	nan	0	0	0	0
246	247	1	83	False	nan	0	0	0	0
247	248	2	83	False	nan	0	0	0	0
248	249	3	83	False	nan	0	0	0	0
249	250	1	84	False	nan	0	0	0	0
250	251	2	84	False	nan	0	0	0	0
251	252	3	84	False	nan	0	0	0	0
252	253	1	85	False	nan	0	0	0	0
253	254	2	85	False	nan	0	0	0	0
254	255	3	85	False	nan	0	0	0	0
255	256	1	86	False	nan	0	0	0	0
256	257	2	86	False	nan	0	0	0	0
257	258	3	86	False	nan	0	0	0	0
258	259	1	87	False	nan	0	0	0	0
259	260	2	87	False	nan	0	0	0	0
260	261	3	87	False	nan	0	0	0	0
261	262	1	88	False	nan	0	0	0	0
262	263	2	88	False	nan	0	0	0	0
263	264	3	88	False	nan	0	0	0	0
264	265	1	89	False	nan	0	0	0	0
265	266	2	89	False	nan	0	0	0	0
266	267	3	89	False	nan	0	0	0	0
267	268	1	90	False	nan	0	0	0	0
268	269	2	90	False	nan	0	0	0	0
269	270	3	90	False	nan	0	0	0	0
270	271	1	91	False	nan	0	0	0	0
271	272	2	91	False	nan	0	0	0	0
272	273	3	91	False	nan	0	0	0	0
273	274	1	92	False	nan	0	0	0	0
274	275	2	92	False	nan	0	0	0	0
275	276	3	92	False	nan	0	0	0	0
276	277	1	93	False	nan	0	0	0	0
277	278	2	93	False	nan	0	0	0	0
278	279	3	93	False	nan	0	0	0	0
279	280	1	94	False	nan	0	0	0	0
280	281	2	94	False	nan	0	0	0	0
281	282	3	94	False	nan	0	0	0	0
282	283	1	95	False	nan	0	0	0	0
283	284	2	95	False	nan	0	0	0	0
284	285	3	95	False	nan	0	0	0	0
285	286	1	96	False	nan	0	0	0	0
286	287	2	96	False	nan	0	0	0	0
287	288	3	96	False	nan	0	0	0	0
288	289	1	97	False	nan	0	0	0	0
289	290	2	97	False	nan	0	0	0	0
290	291	3	97	False	nan	0	0	0	0
291	292	1	98	False	nan	0	0	0	0
292	293	2	98	False	nan	0	0	0	0
293	294	3	98	False	nan	0	0	0	0
294	295	1	99	False	nan	0	0	0	0
295	296	2	99	False	nan	0	0	0	0
296	297	3	99	False	nan	0	0	0	0
297	298	1	100	False	nan	0	0	0	0
298	299	2	100	False	nan	0	0	0	0
299	300	3	100	False	nan	0	0	0	0
