 	Area	StdDev	XM	YM	Slice
1	556	3468.903	289.316	130.688	1
2	487	6624.281	363.858	141.263	1
3	513	5710.700	435.310	141.302	1
4	712	2098.842	288.989	130.237	2
5	564	3268.739	435.149	141.176	2
6	508	3894.918	363.817	141.369	2
7	902	1467.229	288.345	129.688	3
8	769	1706.492	434.840	140.620	3
9	707	2171.558	363.801	141.061	3
10	562	3432.131	289.158	130.649	4
11	491	6578.753	363.607	141.162	4
12	511	5690.394	435.081	141.413	4
13	714	2097.156	288.784	129.963	5
14	505	3864.544	363.626	141.051	5
15	568	3231.523	434.928	141.225	5
16	907	1488.037	288.291	129.507	6
17	775	1654.501	434.682	140.755	6
18	707	2141.924	363.619	140.979	6
19	510	3952.285	289.215	130.798	7
20	489	7307.095	363.721	141.536	7
21	510	6493.066	435.238	141.837	7
22	670	2519.523	289.033	130.372	8
23	535	3783.391	435.070	141.227	8
24	497	4663.225	363.700	141.300	8
25	823	1437.851	288.514	129.766	9
26	740	2111.843	434.840	141.110	9
27	650	2639.319	363.699	141.313	9
28	519	3823.639	289.356	130.821	10
29	486	7201.425	363.712	141.738	10
30	514	6319.347	435.211	142.049	10
31	672	2456.573	289.200	129.965	11
32	501	4597.752	363.713	141.218	11
33	539	3742.962	435.127	141.436	11
34	828	1402.079	288.770	129.267	12
35	742	2062.020	434.904	140.807	12
36	659	2612.261	363.722	141.065	12
37	514	3837.845	289.744	130.762	13
38	481	7309.204	363.925	142.020	13
39	511	6393.549	435.427	142.199	13
40	670	2454.330	289.218	130.334	14
41	497	4630.537	363.686	141.773	14
42	537	3655.699	435.066	141.935	14
43	834	1405.758	288.804	129.682	15
44	741	2112.029	434.892	141.327	15
45	649	2610.345	363.686	141.662	15
46	513	3807.523	289.936	130.515	16
47	484	7461.741	363.986	142.230	16
48	506	6522.191	435.494	142.739	16
49	663	2457.256	289.464	130.102	17
50	496	4763.699	363.768	142.118	17
51	536	3904.525	435.185	142.809	17
52	829	1389.780	288.997	129.638	18
53	732	2176.146	434.879	142.432	18
54	642	2671.421	363.653	142.084	18
55	513	3840.027	289.890	130.642	19
56	482	7582.852	363.920	142.651	19
57	510	6702.968	435.425	143.283	19
58	662	2435.298	289.512	130.170	20
59	499	4913.708	363.799	142.553	20
60	528	4020.505	435.221	143.380	20
61	831	1372.203	289.235	129.735	21
62	722	2290.185	434.961	143.163	21
63	629	2711.809	363.733	142.516	21
64	515	3692.594	289.835	130.452	22
65	473	7672.642	363.753	142.955	22
66	507	6854.123	435.255	143.804	22
67	670	2364.497	289.478	129.821	23
68	495	5011.678	363.634	142.730	23
69	533	4172.766	435.047	143.832	23
70	839	1386.255	289.194	129.622	24
71	620	2759.528	363.636	142.827	24
72	711	2404.920	434.886	143.639	24
73	514	3747.128	289.805	130.385	25
74	473	7807.339	363.643	143.222	25
75	507	7005.263	435.149	144.329	25
76	666	2380.892	289.336	129.857	26
77	492	5144.299	363.454	142.921	26
78	528	4309.965	434.884	144.019	26
79	834	1406.737	289.107	129.554	27
80	611	2802.797	363.464	142.875	27
81	699	2478.613	434.710	144.016	27
82	510	3756.995	289.782	130.679	28
83	472	7859.230	363.650	143.344	28
84	506	7057.228	435.121	144.241	28
85	659	2397.562	289.540	130.097	29
86	492	5174.853	363.578	142.959	29
87	527	4478.397	435.010	143.787	29
88	833	1411.550	289.352	129.770	30
89	701	2498.383	434.836	143.706	30
90	613	2787.763	363.563	142.848	30
91	511	3773.568	289.815	131.099	31
92	468	7895.868	363.751	143.413	31
93	507	7132.038	435.199	144.218	31
94	651	2356.961	289.439	130.478	32
95	499	5193.514	363.518	143.082	32
96	529	4438.698	434.924	143.975	32
97	820	1360.339	289.271	130.120	33
98	682	2551.519	434.702	143.838	33
99	604	2815.038	363.427	142.827	33
100	514	3685.653	289.619	131.109	34
101	466	7999.856	363.559	143.506	34
102	500	7313.256	435.014	144.352	34
103	661	2334.093	289.318	130.568	35
104	496	5343.926	363.361	143.320	35
