,intensity_raw,intensity_interp
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,3151.8,2865.6
31,3126.0,2832.6
32,3143.6,2879.0
33,3133.4,2844.2
34,3064.4,2815.6
35,3079.0,2857.6
36,3060.0,2850.4
37,2958.0,2825.2
38,2932.6,2786.4
39,2908.0,2818.6
40,2881.0,2782.2
41,2862.6,2818.2
42,2824.2,2778.4
43,2873.6,2852.6
44,2871.4,2848.8
45,2938.4,2952.8
46,2985.6,3027.8
47,3023.8,3028.0
48,3146.2,3234.0
49,3203.4,3283.4
50,3342.6,3414.2
51,3466.0,3522.6
52,3612.8,3718.6
53,3886.2,4022.6
54,4069.2,4209.8
55,4245.8,4347.0
56,4507.2,4671.6
57,4747.8,4926.0
58,4887.8,5046.4
59,5135.6,5288.2
60,5450.0,5666.6
61,5717.8,5903.0
62,6054.4,6318.2
63,6191.0,6368.6
64,6541.0,6858.4
65,6762.4,6975.8
66,7127.2,7526.8
67,7207.4,7418.4
68,7512.6,7832.0
69,7561.4,7785.4
70,7742.0,8030.4
71,7988.6,8267.2
72,8068.8,8249.8
73,8248.2,8512.0
74,8376.8,8691.4
75,8463.2,8806.4
76,8632.0,9023.8
77,8519.2,8754.4
78,8634.4,8886.6
79,8728.8,9136.0
80,8382.0,8611.8
81,8395.8,8628.4
82,8476.0,8633.6
83,8433.4,8646.8
84,8343.2,8544.8
85,8146.0,8401.2
86,8140.6,8322.0
87,7992.2,8185.6
88,7993.8,8155.8
89,7770.2,7883.6
90,7631.0,7683.8
91,7593.2,7684.6
92,7406.4,7437.6
93,7361.0,7408.8
94,7301.0,7346.2
95,7257.4,7160.4
96,7161.6,7054.2
97,7177.2,7063.0
98,7138.4,7018.0
99,7190.2,7062.2
100,7212.4,7011.6
101,7288.8,7074.8
102,7426.0,7208.8
103,7612.2,7444.4
104,7745.4,7519.0
105,7907.6,7677.2
106,8153.0,7910.6
107,8424.4,8157.0
108,8721.2,8537.2
109,8989.0,8828.6
110,9440.2,9260.6
111,9870.8,9683.0
112,10125.6,9947.2
113,10656.8,10583.0
114,11289.6,11184.8
115,11776.6,11703.2
116,12317.2,12259.6
117,12757.8,12735.4
118,13309.8,13319.6
119,14184.0,14243.2
120,14617.4,14679.6
121,15244.4,15365.6
122,16164.0,16319.4
123,16881.8,16951.8
124,17573.2,17795.6
125,18139.2,18362.0
126,19017.8,19266.8
127,19625.8,19888.0
128,20487.0,20857.4
129,21347.6,21810.4
130,22303.4,22791.2
131,22976.4,23601.8
132,23602.0,24348.6
133,24540.4,25325.4
134,25109.2,25910.4
135,26156.2,27051.6
136,26717.2,27671.8
137,27833.0,28800.2
138,28421.0,29582.8
139,29302.6,30561.8
140,29984.8,31328.6
141,30716.6,32027.2
142,31055.8,32282.4
143,32347.8,33868.4
144,32830.0,34249.8
145,33213.4,34734.8
146,34047.0,35601.2
147,34901.0,36574.0
148,35424.8,37148.6
149,35802.6,37676.4
150,36991.0,38925.2
151,37084.6,38923.2
152,37488.2,39411.6
153,38367.8,40287.0
154,38919.0,40856.8
155,39428.4,41338.2
156,40049.8,42130.0
157,40062.4,42165.8
158,41110.4,43341.0
159,41310.8,43519.2
160,41701.2,43733.4
161,41795.6,43879.0
162,42115.0,44162.2
163,42644.0,44692.2
164,42787.0,44900.6
165,42930.4,45014.0
166,43131.2,45263.0
167,43325.8,45574.2
168,43568.8,45671.6
169,43802.2,45956.4
170,43712.6,45794.8
171,44184.0,46203.0
172,44136.0,46283.0
173,44164.4,46153.0
174,44226.4,46352.4
175,44364.6,46491.6
176,44619.6,46572.0
177,44503.0,46487.8
178,44683.4,46670.8
179,44628.8,46690.8
180,44430.0,46517.2
181,44933.2,46846.8
182,44537.4,46562.2
183,44497.8,46365.6
184,44656.2,46750.6
185,44440.4,46393.8
186,44536.0,46262.6
187,44484.4,46171.6
188,44127.4,45854.4
189,44019.4,45838.2
190,44480.8,46273.8
191,44411.0,46258.0
192,43933.0,45681.0
193,44006.0,45785.2
194,43799.4,45441.6
195,43948.8,45677.0
196,43480.2,45203.4
197,43686.2,45466.2
198,43280.2,44891.8
199,43042.8,44641.4
200,43132.4,44862.6
201,42915.2,44666.6
202,43120.0,44777.8
203,42793.2,44342.8
204,42778.2,44427.4
205,42529.2,44327.4
206,42235.2,43794.8
207,41852.0,43444.6
208,41763.0,43355.2
209,41742.0,43405.6
210,41204.6,42902.4
211,41007.2,42598.8
212,40820.4,42239.0
213,40444.8,41934.0
214,39944.4,41419.4
215,40184.6,41771.4
216,39920.2,41408.4
217,39293.4,40708.4
218,39369.4,40872.0
219,38883.2,40325.0
220,38570.0,39926.0
221,38518.4,39985.6
222,38048.8,39446.6
223,37762.4,39181.4
224,37658.6,38969.8
225,37399.4,38711.2
226,36985.6,38303.6
227,36670.4,37928.0
228,36347.4,37554.6
229,36318.8,37632.4
230,36014.6,37366.8
231,35585.8,36905.0
232,35333.6,36476.8
233,35051.4,36286.4
234,34600.4,35740.8
235,34258.8,35312.0
236,34060.2,35117.6
237,33726.2,34866.2
238,33514.8,34588.2
239,33165.4,34320.6
240,32882.4,34028.6
241,32661.0,33696.8
242,32325.4,33374.2
243,32013.8,33114.2
244,31854.8,32904.4
245,31546.0,32401.2
246,30956.4,31893.2
247,30790.4,31670.6
248,30512.0,31561.2
249,30320.0,31190.4
250,29897.4,30760.6
251,29574.4,30499.4
252,29209.8,30007.6
253,29051.8,29920.4
254,28843.2,29773.6
255,28476.4,29428.0
256,28250.4,29054.2
257,27975.6,28814.6
258,27642.4,28459.6
259,27387.8,28239.6
260,27045.2,27800.0
261,26793.2,27592.8
262,26707.2,27510.0
263,26241.2,26927.8
264,25860.0,26554.0
265,25850.6,26688.2
266,25486.0,26249.8
267,24980.0,25660.0
268,24779.2,25419.2
269,24515.6,25141.4
270,24255.6,24890.2
271,24006.0,24618.8
272,23800.8,24373.8
273,23525.6,24142.4
274,23148.6,23738.0
275,22960.0,23667.6
276,22609.0,23143.8
277,22405.8,22905.0
278,22206.6,22791.4
279,21865.4,22388.4
280,21643.6,22251.2
281,21537.2,22027.2
282,21199.4,21789.2
283,21078.6,21615.6
284,20749.8,21200.4
285,20553.2,21036.6
286,20320.2,20786.0
287,19891.6,20365.6
288,19760.8,20280.2
289,19512.8,20024.6
290,19335.0,19819.0
291,19103.0,19453.8
292,18856.4,19319.4
293,18589.0,19020.2
294,18460.2,18962.6
295,18219.0,18667.6
296,17938.6,18403.4
297,17821.2,18213.8
298,17612.0,17994.2
299,17397.6,17765.2
300,17109.4,17445.8
301,16862.2,17293.4
302,16659.2,17194.6
303,16533.8,16913.4
304,16219.4,16593.8
305,16076.2,16477.2
306,15925.6,16345.4
307,15685.6,16037.6
308,15519.2,15835.8
309,15308.0,15613.2
310,15095.0,15396.2
311,14901.2,15230.2
312,14666.2,15003.6
313,14497.6,14767.6
314,14368.6,14656.6
315,14221.8,14509.6
316,13958.4,14298.6
317,13794.0,14042.2
318,13740.4,13986.4
319,13507.4,13844.0
320,13319.6,13587.8
321,13167.8,13466.2
322,12970.8,13282.6
323,12800.0,13056.2
324,12618.0,12782.6
325,12433.4,12635.6
326,12349.0,12482.4
327,12193.6,12417.2
328,12074.4,12318.0
329,11871.0,12091.6
330,11736.2,11929.8
331,11521.2,11785.0
332,11367.0,11530.8
333,11211.6,11422.4
334,11084.2,11241.4
335,10920.4,11110.0
336,10856.6,11067.4
337,10652.0,10827.0
338,10500.8,10621.6
339,10387.4,10500.8
340,10201.6,10361.8
341,10069.4,10245.4
342,9966.2,10132.8
343,9797.4,9895.2
344,9720.2,9868.2
345,9623.4,9792.0
346,9465.2,9586.8
347,9385.0,9508.0
348,9222.0,9354.0
349,9127.2,9258.4
350,8927.2,9054.4
351,8958.2,9131.6
352,8765.8,8913.6
353,8648.4,8731.2
354,8608.6,8694.0
355,8469.8,8657.2
356,8286.2,8376.0
357,8223.2,8364.8
358,8123.0,8305.4
359,7982.8,8113.0
