,intensity_raw,intensity_interp
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,3246.4,3132.0
42,3157.6,3073.2
43,3157.2,3069.0
44,3095.0,2994.0
45,3053.8,2989.2
46,3028.2,2957.8
47,2956.2,2861.2
48,2889.4,2816.8
49,2861.2,2768.2
50,2784.6,2727.0
51,2787.8,2701.2
52,2772.4,2765.2
53,2773.6,2767.0
54,2727.0,2685.4
55,2733.4,2688.4
56,2765.4,2733.4
57,2805.2,2794.4
58,2854.4,2902.2
59,2890.0,2922.0
60,3026.4,3043.6
61,3168.2,3155.8
62,3244.4,3286.2
63,3476.4,3539.8
64,3648.0,3717.4
65,3817.0,3937.2
66,4054.2,4164.8
67,4234.4,4391.2
68,4543.2,4732.8
69,4824.0,5045.4
70,5074.6,5295.6
71,5413.8,5688.2
72,5704.2,6085.2
73,5944.8,6292.0
74,6296.2,6680.0
75,6546.2,6989.8
76,6890.6,7337.8
77,7216.0,7679.2
78,7463.2,7920.2
79,7792.8,8294.4
80,7891.0,8411.4
81,8197.4,8688.0
82,8343.4,8876.0
83,8493.2,9009.2
84,8679.4,9269.8
85,8880.6,9378.8
86,8993.4,9526.6
87,9077.8,9579.2
88,9226.6,9853.2
89,9314.2,9904.2
90,9305.0,9879.8
91,9392.8,9942.0
92,9402.2,9951.0
93,9392.4,9965.0
94,9246.6,9671.8
95,9129.8,9636.8
96,9128.0,9600.4
97,8976.6,9370.2
98,8706.0,9132.8
99,8748.6,9062.2
100,8502.0,8807.6
101,8386.4,8653.2
102,8197.4,8390.4
103,8063.8,8267.6
104,7952.6,8047.0
105,7851.4,7995.4
106,7718.8,7762.6
107,7605.0,7668.2
108,7571.4,7588.8
109,7557.4,7559.6
110,7463.2,7401.4
111,7489.2,7376.0
112,7557.6,7453.8
113,7581.6,7445.0
114,7666.0,7515.2
115,7768.0,7631.6
116,7947.8,7731.0
117,8053.0,7845.2
118,8394.2,8193.2
119,8703.0,8516.4
120,8937.4,8728.6
121,9338.4,9154.8
122,9761.8,9540.0
123,10211.0,10059.6
124,10660.6,10479.6
125,11123.6,10994.4
126,11757.0,11670.4
127,12248.0,12182.0
128,12917.6,12931.0
129,13599.8,13659.2
130,14400.0,14519.4
131,15044.8,15200.0
132,15776.2,16008.4
133,16539.0,16839.6
134,17168.6,17547.0
135,18031.8,18368.0
136,18870.8,19341.4
137,19810.0,20368.0
138,20461.2,21093.6
139,21389.4,22035.0
140,22201.6,22989.0
141,23017.4,23775.4
142,23868.4,24707.2
143,24895.8,25803.2
144,25785.0,26833.6
145,26663.4,27699.4
146,27617.4,28957.0
147,28291.6,29535.6
148,29242.0,30589.2
149,29981.4,31398.2
150,30727.8,32313.6
151,31609.4,33117.8
152,32678.4,34377.8
153,33441.4,35231.8
154,34083.2,35761.6
155,34937.0,36813.2
156,35868.0,37839.4
157,36377.0,38351.2
158,36964.0,39006.0
159,37708.0,39697.6
160,38332.4,40434.2
161,38968.0,41197.0
162,39544.8,41691.4
163,40591.6,42902.6
164,40831.4,43195.0
165,41779.0,44130.2
166,41786.6,44086.2
167,42578.0,44833.6
168,43105.0,45497.4
169,43263.2,45425.6
170,43396.4,45601.8
171,44159.4,46690.4
172,44580.8,47044.2
173,44972.4,47423.6
174,45363.0,47744.4
175,45394.6,47900.6
176,45737.0,48244.2
177,45892.0,48218.8
178,46066.6,48643.2
179,46474.2,48951.6
180,46457.2,48871.0
181,46737.2,49196.2
182,46751.6,49273.4
183,47265.4,49730.0
184,46956.0,49387.8
185,46832.4,49174.4
186,47113.2,49467.4
187,47395.0,49809.4
188,47567.6,50021.0
189,47335.4,49730.8
190,47145.2,49494.0
191,47434.8,49844.8
192,47448.8,49607.2
193,47022.4,49242.2
194,47110.4,49354.4
195,47104.0,49270.0
196,46947.2,49101.4
197,46824.4,48802.4
198,46812.6,48779.2
199,46790.8,48650.6
200,46669.0,48701.2
201,46900.0,48914.0
202,46754.2,48842.6
203,46520.4,48573.6
204,46499.4,48374.2
205,46088.8,48110.0
206,45965.4,47937.6
207,46060.8,48077.4
208,45690.0,47778.0
209,45729.8,47708.2
210,45589.8,47578.2
211,45181.0,47187.2
212,44896.8,46844.8
213,45183.6,47020.4
214,44814.0,46664.2
215,44604.8,46528.4
216,44257.8,46209.2
217,43917.6,45646.4
218,44089.8,46008.2
219,43571.2,45299.2
220,43645.0,45452.6
221,43033.8,44646.2
222,42960.0,44719.0
223,42724.4,44412.8
224,42523.2,44161.4
225,42316.8,43923.2
226,42095.0,43810.6
227,41907.8,43532.6
228,41219.4,42776.0
229,40898.0,42586.8
230,40771.8,42255.0
231,40376.4,41935.4
232,40144.2,41574.0
233,39959.0,41368.2
234,39852.4,41417.8
235,39331.0,40654.6
236,39095.2,40521.6
237,38839.0,40232.6
238,38431.4,39885.4
239,38453.4,39760.6
240,37878.2,39163.8
241,37625.0,39114.6
242,37434.2,38785.8
243,36993.8,38148.8
244,36849.4,38119.8
245,36538.4,37673.6
246,35993.6,37162.4
247,35709.0,36854.6
248,35543.6,36663.0
249,35079.6,36237.4
250,34877.2,36011.0
251,34611.6,35799.8
252,34368.2,35358.0
253,33969.6,35082.6
254,33637.8,34794.4
255,33351.4,34443.4
256,33134.8,34281.2
257,32775.2,33798.8
258,32333.6,33365.0
259,32232.0,33310.2
260,31725.6,32642.6
261,31592.4,32557.2
262,31326.0,32350.0
263,30809.0,31842.6
264,30605.0,31494.6
265,30269.0,31163.8
266,29911.8,30847.4
267,29492.0,30364.6
268,29504.0,30394.2
269,29081.6,29918.4
270,28919.2,29652.2
271,28592.2,29444.4
272,28268.6,28951.6
273,27984.2,28761.8
274,27700.8,28514.8
275,27377.6,28136.6
276,27116.0,27806.2
277,26822.0,27584.6
278,26632.4,27360.4
279,26302.4,27090.0
280,25955.8,26658.0
281,25790.8,26470.4
282,25493.8,26210.4
283,25311.4,26075.0
284,24937.2,25659.6
285,24727.2,25389.2
286,24454.2,25060.4
287,24118.6,24780.6
288,23794.6,24424.8
289,23558.4,24137.4
290,23385.4,23984.2
291,22985.0,23594.4
292,22764.6,23365.8
293,22561.0,23104.8
294,22378.6,22988.2
295,22099.4,22686.0
296,21884.6,22422.0
297,21510.2,22012.8
298,21325.0,21908.8
299,21052.0,21515.2
300,20769.6,21280.4
301,20670.2,21189.2
302,20341.8,20872.8
303,20041.8,20470.4
304,19990.4,20442.2
305,19633.4,20016.4
306,19411.2,19879.0
307,19176.8,19680.6
308,18899.6,19328.2
309,18697.8,19051.8
310,18442.2,18857.0
311,18262.0,18648.8
312,18011.4,18423.0
313,17826.2,18239.4
314,17550.8,17962.2
315,17433.0,17736.8
316,17132.2,17494.4
317,16900.6,17313.2
318,16768.4,17109.8
319,16563.2,16961.2
320,16268.8,16582.4
321,16180.2,16498.6
322,15937.0,16270.4
323,15681.6,16007.6
324,15529.0,15828.0
325,15382.8,15661.6
326,15199.8,15499.6
327,14907.4,15170.8
328,14809.4,15075.0
329,14622.4,14814.0
330,14400.8,14661.0
331,14289.2,14530.2
332,14111.4,14364.4
333,13774.6,13975.6
334,13663.4,13822.6
335,13524.0,13760.6
336,13364.2,13523.4
337,13228.4,13493.0
338,12925.6,13097.6
339,12826.6,13044.6
340,12671.4,12798.2
341,12502.4,12636.0
342,12430.0,12605.8
343,12256.4,12476.0
344,12027.0,12229.4
345,11914.4,12089.6
346,11698.4,11950.2
347,11711.4,11910.0
348,11526.8,11728.2
349,11254.0,11408.0
350,11119.6,11298.6
351,11061.6,11188.8
352,10979.2,11138.6
353,10770.8,10905.4
354,10732.8,10878.0
355,10547.2,10641.2
356,10334.0,10476.6
357,10240.6,10403.2
358,10066.8,10228.6
359,9975.0,10153.2
360,9833.6,9949.6
361,9695.0,9823.0
