X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
248.42	174.362	0	6945.848	<SimpleBeadTracker.Bead object at 0x00000119DBE05690>	1	1	0	0	0	True	239.0		M450	0
249.058	174.729	0	7223.358	<SimpleBeadTracker.Bead object at 0x00000119DBE066B0>	1	2	3	3	0	True	240.0		M450	3
249.33	175.131	0	7129.811	<SimpleBeadTracker.Bead object at 0x00000119DBE06D70>	1	3	6	6	0	True	241.0		M450	6
249.242	176.411	0	6826.399	<SimpleBeadTracker.Bead object at 0x00000119DBE07430>	1	4	9	9	0	True	250.0		M450	9
249.394	177.062	0	7027.652	<SimpleBeadTracker.Bead object at 0x00000119DBE07AF0>	1	5	12	12	0	True	241.0		M450	12
248.945	178.055	0	7177.837	<SimpleBeadTracker.Bead object at 0x00000119DBDEAB30>	1	6	15	15	0	True	237.0		M450	15
249.086	178.792	0	7187.251	<SimpleBeadTracker.Bead object at 0x00000119DBE2C220>	1	7	18	18	0	True	223.0		M450	18
248.642	179.982	0	7500.422	<SimpleBeadTracker.Bead object at 0x00000119DBE2C8E0>	1	8	21	21	0	True	237.0		M450	21
248.437	181.267	0	7457.848	<SimpleBeadTracker.Bead object at 0x00000119DBE2CFA0>	1	9	24	24	0	True	238.0		M450	24
247.438	182.495	0	8341.241	<SimpleBeadTracker.Bead object at 0x00000119DBE2D660>	1	10	27	27	0	True	179.0		M450	27
246.901	183.773	0	8781.831	<SimpleBeadTracker.Bead object at 0x00000119DBE2DD20>	1	11	30	30	0	True	123.0		M450	30
246.964	184.139	0	8702.77	<SimpleBeadTracker.Bead object at 0x00000119DBE2E3E0>	1	12	33	33	0	True	116.0		M450	33
246.369	185.366	0	8656.605	<SimpleBeadTracker.Bead object at 0x00000119DBE2EAA0>	1	13	36	36	0	True	116.0		M450	36
246.344	186.246	0	8914.992	<SimpleBeadTracker.Bead object at 0x00000119DBE2F160>	1	14	39	39	0	True	117.0		M450	39
246.763	186.32	0	9001.614	<SimpleBeadTracker.Bead object at 0x00000119D2BC46D0>	1	15	42	42	0	True	114.0		M450	42
245.954	187.521	0	9552.347	<SimpleBeadTracker.Bead object at 0x00000119DBDC8F10>	1	16	45	45	0	True	114.0		M450	45
245.632	188.037	0	9690.857	<SimpleBeadTracker.Bead object at 0x00000119DBDCA4D0>	1	17	48	48	0	True	119.0		M450	48
245.424	188.647	0	9564.048	<SimpleBeadTracker.Bead object at 0x00000119DBDE8910>	1	18	51	51	0	True	113.0		M450	51
245.042	189.046	0	9464.948	<SimpleBeadTracker.Bead object at 0x00000119DBDEA7D0>	1	19	54	54	0	True	120.0		M450	54
244.917	189.198	0	9569.452	<SimpleBeadTracker.Bead object at 0x00000119DBE2FAC0>	1	20	57	57	0	True	122.0		M450	57
244.351	189.294	0	9628.202	<SimpleBeadTracker.Bead object at 0x00000119D2A70250>	1	21	60	60	0	True	120.0		M450	60
244.07	190.1	0	9692.311	<SimpleBeadTracker.Bead object at 0x00000119D2A709A0>	1	22	63	63	0	True	126.0		M450	63
243.954	190.134	0	9607.683	<SimpleBeadTracker.Bead object at 0x00000119D2A710F0>	1	23	66	66	0	True	136.0		M450	66
243.969	190.352	0	9531.214	<SimpleBeadTracker.Bead object at 0x00000119D2A71840>	1	24	69	69	0	True	145.0		M450	69
243.532	190.18	0	9511.304	<SimpleBeadTracker.Bead object at 0x00000119D2A71F90>	1	25	72	72	0	True	159.0		M450	72
243.329	190.329	0	9352.221	<SimpleBeadTracker.Bead object at 0x00000119D2A726E0>	1	26	75	75	0	True	159.0		M450	75
243.009	190.227	0	9456.712	<SimpleBeadTracker.Bead object at 0x00000119D2A72E30>	1	27	78	78	0	True	149.0		M450	78
242.66	190.071	0	9643.44	<SimpleBeadTracker.Bead object at 0x00000119D2A73580>	1	28	81	81	0	True	145.0		M450	81
242.685	189.779	0	9851.934	<SimpleBeadTracker.Bead object at 0x00000119D2A73CD0>	1	29	84	84	0	True	149.0		M450	84
241.943	189.28	0	9928.883	<SimpleBeadTracker.Bead object at 0x00000119D2CD0460>	1	30	87	87	0	True	149.0		M450	87
241.56	189.414	0	9926.494	<SimpleBeadTracker.Bead object at 0x00000119D2CD0BB0>	1	31	90	90	0	True	148.0		M450	90
241.318	188.583	0	9999.431	<SimpleBeadTracker.Bead object at 0x00000119D2CD1300>	1	32	93	93	0	True	151.0		M450	93
241.087	188.856	0	9808.04	<SimpleBeadTracker.Bead object at 0x00000119D2CD1A50>	1	33	96	96	0	True	143.0		M450	96
240.362	188.947	0	9532.192	<SimpleBeadTracker.Bead object at 0x00000119D2CD21A0>	1	34	99	99	0	True	138.0		M450	99
239.707	189.353	0	9086.288	<SimpleBeadTracker.Bead object at 0x00000119D2CD28F0>	1	35	102	102	0	True	138.0		M450	102
239.547	189.963	0	9076.857	<SimpleBeadTracker.Bead object at 0x00000119D2CD3040>	1	36	105	105	0	True	126.0		M450	105
239.488	189.45	0	9353.331	<SimpleBeadTracker.Bead object at 0x00000119D2CD3790>	1	37	108	108	0	True	139.0		M450	108
239.403	189.268	0	9234.041	<SimpleBeadTracker.Bead object at 0x00000119D2CD3EE0>	1	38	111	111	0	True	137.0		M450	111
239.682	188.603	0	9893.879	<SimpleBeadTracker.Bead object at 0x00000119D2CC8670>	1	39	114	114	0	True	111.0		M450	114
239.359	188.836	0	9819.421	<SimpleBeadTracker.Bead object at 0x00000119D2CC8DC0>	1	40	117	117	0	True	113.0		M450	117
239.462	189.466	0	9444.402	<SimpleBeadTracker.Bead object at 0x00000119D2CC9510>	1	41	120	120	0	True	112.0		M450	120
239.412	189.627	0	9664.618	<SimpleBeadTracker.Bead object at 0x00000119D2CC9C90>	1	42	123	123	0	True	120.0		M450	123
238.661	189.876	0	9335.227	<SimpleBeadTracker.Bead object at 0x00000119D2CCA3E0>	1	43	126	126	0	True	124.0		M450	126
238.727	190.406	0	8988.028	<SimpleBeadTracker.Bead object at 0x00000119D2CCAB30>	1	44	129	129	0	True	123.0		M450	129
238.705	190.802	0	9252.979	<SimpleBeadTracker.Bead object at 0x00000119D2CCB280>	1	45	132	132	0	True	134.0		M450	132
238.428	190.858	0	8727.332	<SimpleBeadTracker.Bead object at 0x00000119D2CCB9D0>	1	46	135	135	0	True	134.0		M450	135
238.758	190.526	0	8684.387	<SimpleBeadTracker.Bead object at 0x00000119DBE48190>	1	47	138	138	0	True	125.0		M450	138
239.391	190.657	0	8890.573	<SimpleBeadTracker.Bead object at 0x00000119DBE488E0>	1	48	141	141	0	True	125.0		M450	141
240.134	192.006	0	9034.427	<SimpleBeadTracker.Bead object at 0x00000119DBE49030>	1	49	144	144	0	True	144.0		M450	144
241.183	192.942	0	9180.281	<SimpleBeadTracker.Bead object at 0x00000119DBE49780>	1	50	147	147	0	True	145.0		M450	147
242.342	193.442	0	9618.607	<SimpleBeadTracker.Bead object at 0x00000119DBE49ED0>	1	51	150	150	0	True	144.0		M450	150
243.681	195.304	0	9181.65	<SimpleBeadTracker.Bead object at 0x00000119DBE4A620>	1	52	153	153	0	True	160.0		M450	153
244.211	196.482	0	9031.453	<SimpleBeadTracker.Bead object at 0x00000119DBE4AD70>	1	53	156	156	0	True	162.0		M450	156
245.62	197.281	0	8845.335	<SimpleBeadTracker.Bead object at 0x00000119D2ECAD70>	1	54	159	159	1	True	176.0		M450	159
246.671	198.273	0	8673.645	<SimpleBeadTracker.Bead object at 0x00000119D2EE8160>	1	55	162	162	1	True	187.0		M450	162
