X	Y	idxAnalysis	StdDev	Bead	status_frame	status_nUp	iF	iS	iB_inFrame	bestStd	Zr	Neighbour_L	Neighbour_R	iField
364.774	178.728	0	10549.28	<SimpleBeadTracker.Bead object at 0x00000119D4130250>	1	1	0	0	2	True	123.0	M450	M450	0
365.101	178.793	0	10538.382	<SimpleBeadTracker.Bead object at 0x00000119D4131420>	1	2	3	3	2	True	121.0	M450	M450	3
365.913	178.884	0	10618.947	<SimpleBeadTracker.Bead object at 0x00000119D4132560>	1	3	6	6	1	True	120.0	M450	M450	6
366.343	179.002	0	10443.918	<SimpleBeadTracker.Bead object at 0x00000119D41336D0>	1	4	9	9	1	True	121.0	M450	M450	9
366.677	178.395	0	10510.846	<SimpleBeadTracker.Bead object at 0x00000119D41488B0>	1	5	12	12	2	True	119.0	M450	M450	12
366.275	177.918	0	10570.708	<SimpleBeadTracker.Bead object at 0x00000119D41499F0>	1	6	15	15	1	True	112.0	M450	M450	15
366.546	177.389	0	10467.542	<SimpleBeadTracker.Bead object at 0x00000119D414AB60>	1	7	18	18	1	True	120.0	M450	M450	18
366.322	176.79	0	10610.246	<SimpleBeadTracker.Bead object at 0x00000119D414BCD0>	1	8	21	21	1	True	112.0	M450	M450	21
366.933	176.375	0	10608.719	<SimpleBeadTracker.Bead object at 0x00000119D4168E80>	1	9	24	24	1	True	117.0	M450	M450	24
366.908	176.244	0	10649.709	<SimpleBeadTracker.Bead object at 0x00000119D4169FF0>	1	10	27	27	1	True	112.0	M450	M450	27
366.991	175.823	0	10717.8	<SimpleBeadTracker.Bead object at 0x00000119D416B160>	1	11	30	30	1	True	107.0	M450	M450	30
367.079	175.453	0	10640.849	<SimpleBeadTracker.Bead object at 0x00000119D4184310>	1	12	33	33	1	True	116.0	M450	M450	33
367.1	174.627	0	10680.342	<SimpleBeadTracker.Bead object at 0x00000119D4185480>	1	13	36	36	1	True	109.0	M450	M450	36
366.829	174.668	0	10717.046	<SimpleBeadTracker.Bead object at 0x00000119D41865F0>	1	14	39	39	1	True	110.0	M450	M450	39
366.458	173.436	0	10769.708	<SimpleBeadTracker.Bead object at 0x00000119D4187760>	1	15	42	42	1	True	92.0	M450	M450	42
366.64	173.207	0	10723.161	<SimpleBeadTracker.Bead object at 0x00000119D41A4910>	1	16	45	45	1	True	95.0	M450	M450	45
366.325	173.098	0	10758.34	<SimpleBeadTracker.Bead object at 0x00000119D41A5A80>	1	17	48	48	1	True	96.0	M450	M450	48
366.279	172.768	0	10739.061	<SimpleBeadTracker.Bead object at 0x00000119D41A6BF0>	1	18	51	51	1	True	96.0	M450	M450	51
366.441	172.621	0	10769.257	<SimpleBeadTracker.Bead object at 0x00000119D41A7D60>	1	19	54	54	1	True	93.0	M450	M450	54
366.534	172.638	0	10749.598	<SimpleBeadTracker.Bead object at 0x00000119D41BCF10>	1	20	57	57	1	True	90.0	M450	M450	57
366.85	172.631	0	10836.886	<SimpleBeadTracker.Bead object at 0x00000119D41BE080>	1	21	60	60	1	True	87.0	M450	M450	60
367.03	171.98	0	10870.025	<SimpleBeadTracker.Bead object at 0x00000119D41BF1F0>	1	22	63	63	1	True	85.0	M450	M450	63
367.676	171.811	0	10878.281	<SimpleBeadTracker.Bead object at 0x00000119D41DC3A0>	1	23	66	66	1	True	89.0	M450	M450	66
367.175	171.457	0	10894.376	<SimpleBeadTracker.Bead object at 0x00000119D41DD510>	1	24	69	69	1	True	90.0	M450	M450	69
367.805	170.918	0	10900.288	<SimpleBeadTracker.Bead object at 0x00000119D41DE680>	1	25	72	72	1	True	93.0	M450	M450	72
368.176	170.733	0	10911.005	<SimpleBeadTracker.Bead object at 0x00000119D41DF7F0>	1	26	75	75	1	True	90.0	M450	M450	75
368.765	170.876	0	10917.191	<SimpleBeadTracker.Bead object at 0x00000119D42009A0>	1	27	78	78	1	True	93.0	M450	M450	78
368.876	171.221	0	10912.343	<SimpleBeadTracker.Bead object at 0x00000119D391A2C0>	1	28	81	81	1	True	89.0	M450	M450	81
368.89	171.111	0	10930.732	<SimpleBeadTracker.Bead object at 0x00000119D4048370>	1	29	84	84	1	True	81.0	M450	M450	84
369.151	171.205	0	10935.863	<SimpleBeadTracker.Bead object at 0x00000119D4029060>	1	30	87	87	1	True	91.0	M450	M450	87
369.664	171.043	0	10965.766	<SimpleBeadTracker.Bead object at 0x00000119D402AC50>	1	31	90	90	1	True	87.0	M450	M450	90
369.874	170.44	0	10918.899	<SimpleBeadTracker.Bead object at 0x00000119D3D8D600>	1	32	93	93	1	True	80.0	M450	M450	93
370.567	169.91	0	10931.082	<SimpleBeadTracker.Bead object at 0x00000119D3D8E410>	1	33	96	96	1	True	82.0	M450	M450	96
370.805	170.025	0	10950.801	<SimpleBeadTracker.Bead object at 0x00000119D3D8DA20>	1	34	99	99	1	True	74.0	M450	M450	99
370.872	170.507	0	10950.271	<SimpleBeadTracker.Bead object at 0x00000119D3D6B0A0>	1	35	102	102	1	True	82.0	M450	M450	102
370.687	169.735	0	10895.2	<SimpleBeadTracker.Bead object at 0x00000119D3D6A2F0>	1	36	105	105	1	True	89.0	M450	M450	105
370.024	170.027	0	10967.24	<SimpleBeadTracker.Bead object at 0x00000119D40A4BE0>	1	37	108	108	0	True	78.0	M450	M450	108
369.699	170.104	0	10953.144	<SimpleBeadTracker.Bead object at 0x00000119D3D56110>	1	38	111	111	1	True	78.0	M450	M450	111
369.332	170.144	0	10894.435	<SimpleBeadTracker.Bead object at 0x00000119D39E31C0>	1	39	114	114	1	True	58.0	M450	M450	114
369.446	170.463	0	10901.202	<SimpleBeadTracker.Bead object at 0x00000119D39E3E50>	1	40	117	117	1	True	58.0	M450	M450	117
369.118	170.077	0	10893.142	<SimpleBeadTracker.Bead object at 0x00000119D40A66E0>	1	41	120	120	0	True	58.0	M450	M450	120
369.21	169.198	0	10827.964	<SimpleBeadTracker.Bead object at 0x00000119D3CCFD30>	1	42	123	123	1	True	57.0	M450	M450	123
369.389	169.228	0	10893.362	<SimpleBeadTracker.Bead object at 0x00000119D3CCF280>	1	43	126	126	1	True	59.0	M450	M450	126
369.456	169.03	0	10868.601	<SimpleBeadTracker.Bead object at 0x00000119D3CCCDF0>	1	44	129	129	1	True	59.0	M450	M450	129
369.494	169.06	0	10905.429	<SimpleBeadTracker.Bead object at 0x00000119D3CCC3D0>	1	45	132	132	1	True	67.0	M450	M450	132
369.372	168.386	0	10918.833	<SimpleBeadTracker.Bead object at 0x00000119D3D022C0>	1	46	135	135	1	True	58.0	M450	M450	135
368.7	168.152	0	10919.707	<SimpleBeadTracker.Bead object at 0x00000119D3D01150>	1	47	138	138	1	True	61.0	M450	M450	138
368.709	167.805	0	10905.209	<SimpleBeadTracker.Bead object at 0x00000119D3D02920>	1	48	141	141	1	True	76.0	M450	M450	141
368.831	167.648	0	10968.904	<SimpleBeadTracker.Bead object at 0x00000119D3D39E10>	1	49	144	144	1	True	68.0	M450	M450	144
369.017	167.605	0	10976.577	<SimpleBeadTracker.Bead object at 0x00000119D3D3B8B0>	1	50	147	147	1	True	68.0	M450	M450	147
369.088	168.002	0	11021.678	<SimpleBeadTracker.Bead object at 0x00000119D398F1F0>	1	51	150	150	1	True	73.0	M450	M450	150
369.047	168.061	0	11051.817	<SimpleBeadTracker.Bead object at 0x00000119D30B95D0>	1	52	153	153	1	True	70.0	M450	M450	153
368.733	167.906	0	11015.346	<SimpleBeadTracker.Bead object at 0x00000119D30B8640>	1	53	156	156	1	True	67.0	M450	M450	156
368.531	167.426	0	11013.872	<SimpleBeadTracker.Bead object at 0x00000119D30BA6B0>	1	54	159	159	1	True	59.0	M450	M450	159
368.842	167.573	0	11019.431	<SimpleBeadTracker.Bead object at 0x00000119D30ED180>	1	55	162	162	1	True	68.0	M450	M450	162
368.355	167.343	0	10976.353	<SimpleBeadTracker.Bead object at 0x00000119D30CD4E0>	1	56	165	165	1	True	70.0	M450	M450	165
368.123	166.13	0	10923.324	<SimpleBeadTracker.Bead object at 0x00000119D30CC460>	1	57	168	168	1	True	78.0	M450	M450	168
367.984	165.228	0	10897.019	<SimpleBeadTracker.Bead object at 0x00000119D30CD360>	1	58	171	171	1	True	88.0	M450	M450	171
368.082	164.291	0	10754.318	<SimpleBeadTracker.Bead object at 0x00000119D3075990>	1	59	174	174	1	True	72.0	M450	M450	174
367.925	163.631	0	10771.631	<SimpleBeadTracker.Bead object at 0x00000119D40C67A0>	1	60	177	177	0	True	68.0	M450	M450	177
368.712	162.819	0	10734.268	<SimpleBeadTracker.Bead object at 0x00000119D40C6E60>	1	61	180	180	0	True	74.0	M450	M450	180
368.671	162.015	0	10706.615	<SimpleBeadTracker.Bead object at 0x00000119D40C7520>	1	62	183	183	0	True	66.0	M450	M450	183
369.015	161.973	0	10721.911	<SimpleBeadTracker.Bead object at 0x00000119D3056B00>	1	63	186	186	1	True	61.0	M450	M450	186
369.087	161.599	0	10712.913	<SimpleBeadTracker.Bead object at 0x00000119D40DC2E0>	1	64	189	189	0	True	66.0	M450	M450	189
369.278	161.927	0	10697.887	<SimpleBeadTracker.Bead object at 0x00000119D40DC9A0>	1	65	192	192	0	True	59.0	M450	M450	192
368.937	162.553	0	10739.11	<SimpleBeadTracker.Bead object at 0x00000119D40DD060>	1	66	195	195	0	True	65.0	M450	M450	195
368.69	162.923	0	10738.275	<SimpleBeadTracker.Bead object at 0x00000119DBDCB280>	1	67	198	198	1	True	59.0	M450	M450	198
368.852	162.644	0	10702.857	<SimpleBeadTracker.Bead object at 0x00000119DBDC8A90>	1	68	201	201	1	True	67.0	M450	M450	201
368.555	162.602	0	10700.196	<SimpleBeadTracker.Bead object at 0x00000119D2A2F790>	1	69	204	204	1	True	78.0	M450	M450	204
368.926	162.569	0	10699.838	<SimpleBeadTracker.Bead object at 0x00000119D2C62D10>	1	70	207	207	1	True	77.0	M450	M450	207
369.029	162.806	0	10684.908	<SimpleBeadTracker.Bead object at 0x00000119D2C87220>	1	71	210	210	1	True	85.0	M450	M450	210
369.21	163.007	0	10744.352	<SimpleBeadTracker.Bead object at 0x00000119D2C84A30>	1	72	213	213	1	True	70.0	M450	M450	213
369.288	163.359	0	10743.248	<SimpleBeadTracker.Bead object at 0x00000119D2C84670>	1	73	216	216	1	True	69.0	M450	M450	216
369.131	162.829	0	10752.674	<SimpleBeadTracker.Bead object at 0x00000119D4201660>	1	74	219	219	1	True	73.0	M450	M450	219
368.608	162.447	0	10775.987	<SimpleBeadTracker.Bead object at 0x00000119D4202AA0>	1	75	222	222	1	True	59.0	M450	M450	222
368.454	163.082	0	10783.108	<SimpleBeadTracker.Bead object at 0x00000119D4203EE0>	1	76	225	225	1	True	72.0	M450	M450	225
